,sentence1,sentence2,pronoun,referent,wrong_referent
9703,The hardworking bee rested on the flower,It was inquisitive,It,bee,flower
9704,The people organized a strike against the unfair government,They were spreading false information,They,government,people
9705,The heavy-duty knife sliced through the fence near the garden,It was enclosing the private property,It,fence,knife
9706,The energetic people joined a nonviolent protest against the dismissive government,They were monitoring citizens,They,government,people
9707,The enthusiastic students read over the imaginative books,They were facing their fears,They,students,books
9708,The sturdy heart drove blood with assurance,It was a resilient muscle,It,heart,blood
9709,The knife cut through the fence firmly,It was rotten and weakened by time,It,fence,knife
9710,The people formed a coalition against the ineffective government,They were blocking free speech,They,government,people
9711,The heart pumped blood that reduced inflammation,It was a invigorating liquid,It,blood,heart
9712,The unswerving heart moved energy-providing blood that fought infections,It was a vitalizing liquid,It,blood,heart
9713,The unwavering people led a demonstration against the inhumane government,They were neglecting public health,They,government,people
9714,The storm forced the international flight,It was carrying essential supplies,It,flight,storm
9715,The strong storm caused a delay for the flight,It was producing tornadoes,It,storm,flight
9716,The dull knife punctured the fence rapidly,It was freshly painted,It,fence,knife
9717,The birds snatched the delectable seeds,They were chirping melodiously,They,birds,seeds
9718,The heart drove blood that rejuvenated cells,It was a immune-boosting liquid,It,blood,heart
9719,The lucky sailors escaped off the boats,They were facing malfunctions,They,boats,sailors
9720,The heart pushed blood that reduced inflammation,It was a immune-boosting fluid,It,blood,heart
9721,The brave bee gathered pollen from the intricate flower,It was finding pollen,It,bee,flower
9722,The storm made the flight,It was creating dangerous conditions,It,storm,flight
9723,The sailors jumped from the reckless boats,They were not safe,They,boats,sailors
9724,The massive storm hindered the commercial flight,It was producing tornadoes,It,storm,flight
9725,The precise sniper took aim the terrorist,He was a talented sharpshooter,He,sniper,terrorist
9726,The powerful knife cut through the fence surrounding the pool,It was damaged and unstable,It,fence,knife
9727,The creative students scrutinized the books,They were seeking knowledge,They,students,books
9728,The students discussed the books,They were pursuing their passions,They,students,books
9729,The quick heart drove blood with unwavering attention,It was a agile muscle,It,heart,blood
9730,The intense storm alarm the flight,It was carrying cargo,It,flight,storm
9731,The efficient bee buzzed around the alluring flower,It was overflowing with nectar,It,flower,bee
9732,The severe storm alarm the flight,It was carrying essential supplies,It,flight,storm
9733,The storm affected the international flight,It was causing flash floods,It,storm,flight
9734,The heart pushed blood that rejuvenated cells,It was a rejuvenating fluid,It,blood,heart
9735,The self-assured heart pumped necessary blood with assurance,It was a rhythmic muscle,It,heart,blood
9736,The hungry birds experimented with the delectable seeds,They were rich and indulgent,They,seeds,birds
9737,The sailors plummeted off the exposed boats,They were battling the storm,They,sailors,boats
9738,The students read through the ancient books,They were laughing out loud,They,students,books
9739,The self-assured heart drove life-giving blood that sustained life,It was a messaging liquid,It,blood,heart
9740,The sailors fell off the equipped boats,They were not being careful,They,sailors,boats
9741,The people took to the streets against the inhumane government,They were standing their ground,They,people,government
9742,The smart sailors dived off the boats,They were not safe,They,boats,sailors
9743,The innovative birds plucked the difficult-to-reach seeds,They were savory,They,seeds,birds
9744,The sniper took aim the terrorist,He was a notorious combatant,He,terrorist,sniper
9745,The students analyzed the useful books,They were boring,They,books,students
9746,The experienced sailors dived off the boats,They were not in control,They,boats,sailors
9747,The energetic people gathered to demonstrate against the inhumane government,They were embezzling public funds,They,government,people
9748,The outraged people shouted their demands against the unjust government,They were fighting for democracy,They,people,government
9749,The agile bee settled on the rich flower,It was attracting many pollinators,It,flower,bee
9750,The birds experimented with the tough seeds,They were quick and graceful,They,birds,seeds
9751,The activist people gathered against the unresponsive government,They were using excessive force,They,government,people
9752,The athletic heart beat life-enhancing blood that maintained life,It was a crucial fluid,It,blood,heart
9753,The unstoppable heart pushed life-enhancing blood that maintained life,It was a life-essential fluid,It,blood,heart
9754,The dedicated students examined the enriching books,They were boring,They,books,students
9755,The bee crawled on the flower,It was on a mission,It,bee,flower
9756,The students created projects based on the books,They were sparking their own creativity,They,students,books
9757,The police pursued the criminals in the act,They were willing to take extreme risks,They,criminals,police
9758,The unyielding heart circulated revitalizing blood that reduced inflammation,It was a heart-supporting fluid,It,blood,heart
9759,The heart circulated life-giving blood that fought infections,It was a messaging liquid,It,blood,heart
9760,The sniper assassinated the terrorist,He was a ruthless war criminal,He,terrorist,sniper
9761,The hard-working bee flew to the flower,It was a popular destination,It,flower,bee
9762,The activist people took a stand against the corrupt government,They were neglecting public health,They,government,people
9763,The people led a protest against the inhumane government,They were fighting for their rights,They,people,government
